School Name,School Id,School Overview,Email,Website,Phone,Fax,Principal,Manager,Address
Adam Road Primary School,5001,"



Adam Road Primary School
An Independent Public School

Adam Road Primary School was opened in February 1967. The school caters for Kindergarten to Year 6 students and in recent years the student population has been in excess of 500. The school has 25 classrooms including; two Kindergartens, three Pre Primaries and purpose build specialist facilities for music, art and science. The school also has a large, modern library and an extensive playground which include nature play areas.


School Purpose
Our Vision
Adam Road Primary School is a school of distinction, guiding students on the road to success by providing opportunities for the development of the whole child through the academics, the arts, sport and pastoral care.

School Beliefs
We believe students learn best when they

Feel safe, valued and respected
Therefore we:
* Provide a positive and inclusive environment by promoting and explicitly teaching our core values.
* Build a rapport that reflects mutual respect, care and trust which leads to effective learning.

Are challenged, engaged and accountable for their learning
Therefore we:
* Set explicit criteria and expectations clearly understood by all students
* Provide opportunities that challenge students to explore, build knowledge, create, make connections and find solutions.
* Use strategies that require participation and/or collaboration by all, to reach effective outcomes.

Have a positive relationship with the school and class teacher
Therefore we:
* Accept the differences that each child brings to the classroom and use this knowledge to build positive educational relationships.
* Explicitly teach skills that are required to build relationships.

Are provided with opportunities to succeed
Therefore we:
* Use relevant programs or strategies that cater for individual differences.
* Provide timely, constructive feedback and opportunities for self-reflection.

School Values
Respect Endeavour Responsibility Tolerance and Resilience

The school values are embedded in daily school operations and students are acknowledged when displaying these values.

School Code of Conduct
Be Safe Be Respectful
This simple code of conduct places responsibility with all students to demonstrate appropriate behaviour at all times.

School Priorities
* A consistent, whole school approach to the delivery of core curriculum areas.
* To support all staff to meet the needs of a wide range of student abilities.
* To provide a broad curriculum with strong specialist programs in music, art, science and physical education.
* To challenge more able students though our Argonauts Program. Selected students participate in philosophy and STEM based programs.
* To develop literacy skills with an Early Intervention Speech and Language Program supported by a Speech Pathologist.

Parent / Community Involvement
* School Board.
* Parents and Citizens Associations.
* Kids Hope Mentors.
* Hands up 4 Kids - reading support.
* Parents and community members volunteering for general classroom support.
* Family Picnics.
* A variety of school activities and carnivals.

Communication
* School Star App
* School Website
* Parent Information Sessions
* Fortnightly Newsletter
* Message You - SMS Communication Service
* Parent / Teacher Interviews are encouraged

For further information see our website - www.adamroad.wa.edu.au
",AdamRoad.PS@education.wa.edu.au,http://www.adamroad.wa.edu.au,08 9796 3000,,Guy Asser,Keren Stewart,"Hotchin Street
South Bunbury WA
6230"
Albany Primary School,5002,"

Our school is a learning community that highly values life-long learning and facilitates excellence in student achievement. Our practices focus on enabling students to demonstrate our motto 'Strive to Achieve'.

Albany Primary School staff are an experienced, dedicated group who are working effectively together to enhance the performance of all students and to manage and improve school facilities.

Staff members include those that maintain and clean the facility, manage reception and finance, support the educational program, conduct the educational program and manage the school as administrators.

We are pleased that we have developed a very strong, positive and beneficial partnership between staff, parents and approximately 500 students from Kindergarten to Year 6.

Over the past five years the school has worked towards developing, implementing and then embedding an evidence-based Literacy Program for all students. This program features a focus on guided reading, phonics, spelling and writing.

In the Early Childhood area of the school, staff continue to focus on all key aspects of a child's development. This includes physical, cognitive, social, creative and personal development. The staff have worked jointly to raise literacy expectations whilst still providing opportunities to learn through hands on processes and structured, purposeful play.

The school has been able to develop an excellent set of technology resources that are used widely in classrooms. Students can access learning programs through PCs, iPads, notebooks and interactive whiteboards. The school also has a dedicated computer lab and PCs in the library to use for research work.

The school has four specialist areas that are conducted by specialist teachers. All students from Years 1 to 6 participate in science, music and physical education on a weekly basis. Indonesian is currently provided to Year 3 students and will be offered to all students in Years 3 to 6 by 2021.

Our students' passion for music is further developed through the provision of programs by the School of Instrumental Music. Selected students have the opportunity to develop their skills in playing instruments such as trumpet, double bass, cello, flute, clarinet, viola, violin and guitar.

Albany Primary School is currently transitioning to becoming a Positive Behaviour Support (PBS) school. We look forward to sharing more information about this throughout 2018.

Our school is relatively new and therefore has facilities that include a music room, dedicated science room, a dedicated computer lab, an art room, a spacious purpose built library, a well-resourced assembly area set up for performing arts and a dedicated early childhood facility as well as classrooms and various supporting storage space.

The grounds are spacious and structured to accommodate opportunities for students to engage in various sports and play. Over the years the P & C and school have worked together to enhance the facilities and aesthetics of the grounds. This has ensured that the school has a stimulating early childhood play area, an adventure playground for the primary aged students and sporting fields dedicated to winter and summer sports.

Discover more:
T: 9842 7400
E: Albany.PS@education.wa.edu.au
",Albany.PS@education.wa.edu.au,,08 9842 7400,08 9842 7444,Cathy Willis,Catherine Mumford,"Suffolk Street
Albany WA
6330"
Albany Residential College,2211,"

An updated version of the School Overview is in preparation and will be included shortly.",,,08 9842 1007,08 9841 8459,,,"Amity House, Thomas St
Albany WA
6331"
Albany Secondary Education Support Centre,6151,"

Our Purpose
Albany Secondary Education Support Centre (ASESC) is committed to providing a safe, caring and supportive environment where students are empowered to achieve their social, emotional and academic potential. We promote and maintain positive relationships both within our school community and with the larger community. We foster an inclusive environment that provides opportunities for all students to develop independence for life and actively contribute to society.

Our school aims for excellence in all areas and to be a leader for Western Australia in Education Support.

Our Values
Respect and Responsibility, Excellence and Equity, Care and Commitment

ASESC caters for students with a mild to moderate intellectual disability from Years 7-13. All of our students are at educational risk with all requiring substantial or extensive adjustments to the teaching and learning program as well as the learning environment. As the only secondary education support centre in the region we attract students from as far afield as Kojonup and Jerramungup with many students travelling by bus from Denmark and Mount Barker.

ASESC is an Independent Public school and therefore enjoys greater flexibilities which enable us to be more proactive and responsive to student need, in particular with reference to our staffing profile, resources and facilities. We maintain a 1:1 iPad to student ratio, a school van and a school bus to support student community access and participation.

ASESC is a Positive Behaviour School. We explicitly teach our students the skills they need to be Safe, Responsible, Respectful, Positive and Caring. We recognise and reward effort and achievement and promote positive relationships for all members of our school community. Every student at ASESC has an Individual Education Plan which is tailored to their specific individual needs.

An important focus at ASESC is increasing student independence and ability to actively engage with and contribute to their community. ASESC is an ASDAN school which enables us to deliver an accredited program that makes learning relevant and transferable; develops skills for learning, skills for employment and skills for life and celebrates the diversity of our students. We enhance the learning experience with programs such as Community Work Crew, Workplace Learning and Bush Rangers which all assist our students in developing their skills for independence, gaining recognition for their achievements and preparing for the world beyond school.

At ASESC we believe communication represents an essential and very important human need and improving communication skills is a focus for all students. We have a multi modal approach to communication, which incorporates alternative augmentative communication systems such as Proloquo2go and PECS (Picture Exchange Communication Systems) as well as PODDS (Pragmatic Organisation Dynamic Display), to assist students with communication challenges. One particularly distinctive feature of ASESC is our HALO (or Rapid Prompting Method) program which is designed to support the learning needs of students with autism and communication challenges.
",,,08 9841 4900,08 9841 5655,Karen Campbell,Lia Shavian-Siegel,"65 Anson Road
Albany WA
6330"
Albany Senior High School,4001,"

Albany Senior High School commenced in 1918 and celebrates its centenary in 2018. The school has a long and proud tradition of producing outstanding graduates who excel in academic, sporting, artistic, leadership and personal pursuits. The school forms an integral part of the fabric of the Albany community and has strong bonds with generations of successful graduates supported by the ASHS Alumni.

The school's values charter outlines the importance of respect, compassion, social justice and individual responsibility for all members of the school community. The embodiment of these values ensures a happy, safe and hardworking student body, where respect and responsibility are key. The outstanding academic, sporting and leadership achievements of our students is testament to generations seeking excellence. Outstanding ATAR achievements, high graduation rates, scholarship and award winners, Top Country Week school and excellent band performances, are all examples of individual and team success by students.

The school has an experienced dedicated team of teachers who guide, motivate and inspire students. The school provides a diverse range of programs, including marine science, music, outdoor education, Follow the Dream, Gifted and Talented Education (GATE) on line, certificate II, philosophy, Italian, media studies, economics, in addition to the fundamental courses of English, Maths, Science and Humanities. These programs are enriched with a diverse range of extra-curricular activities offered within the local area, across the state and further afield.

Student leadership is fostered across the school to have a positive impact on the culture of the school and the continuance of traditions with pride. The senior leaders or prefects, are key mentors for younger students and provide strong advocacy for the student body.

Meeting the pastoral care needs of a diverse student body is catered for by a large student services team. This team works closely with community based agencies in supporting the health, social and emotional needs of our students. The team of program coordinators, school psychologist, nurse, chaplain, Aboriginal Islander Education Officers and year coordinators, works collaboratively to provide proactive and point of need support for all students.

As an Independent Public School the School Board provides support and advice on the direction of the school. The board members represent staff, parent and community interests in ensuring the school maintains its relevance, direction and standards. The school P&C provides financial assistance to the school through the operations of the canteen and other fundraising activities.

",,,08 9841 0444,08 9842 1512,Jenny Firth,Kathy Smyth,"1 Campbell Road
Albany WA
6330"
Alinjarra Primary School,5693,"

Our school provides a safe, caring and inclusive environment for students, which offers a full, student-centred curriculum and encourages strong community participation.

Catering for Kindergarten to Year 6 students, our community consists of a variety of nationalities with over 30 different languages spoken by our families.

Our staff are friendly, experienced, passionate and committed to improving the outcomes for our students, with most staff being long-serving members of the school community.

A wide range of learning activities is offered across the curriculum including science, drama, music, and Italian. Gifted and Talented students are also catered for in a variety of programmes including Primary Extension and Challenge Program and Junior Extension for Talented Students (JETS). The school is part of the River Rangers project where Year 6 students are learning how to protect the Swan River and local environs.

Our school community enjoys an active P&C and School Council working to ensure the best for our students. All groups work in partnership to make Alinjarra Primary School a great place to be.

We have modern buildings and our ICT includes fully networked computers, IPads and electronic smart boards to enhance students' learning .

Discover more about Alinjarra Primary School by emailing Alinjarra.PS@education.wa.edu.au or telephoning 9342 3388.
",,,08 9462 9950,,Steven Noble,Fiona Bode,"33 Northumberland Avenue
Alexander Heights WA
6064"
Alkimos Beach Primary School,5848,"



Alkimos Beach Primary School, located approximately 45km from Perth, opened in 2017 catering for children from Kindergarten to Year 6.

We are a school with strong values and are committed to developing a highly engaging and dynamic learning program for your children.

At Alkimos Beach Primary School, we believe that each child has the right to be respected and has a responsibility to respect others. An important priority of our school is creating a warm, caring and supportive learning environment, both with your children and the community.

Our school has purpose built art, science and music rooms, a modern large undercover area, wi-fi technology and comfortable classrooms, all set among beautifully landscaped grounds.

We welcome you to our school and encourage you to contact us if you have any queries about the school or with enrolments.

Principal: Michelle Wellsteed
T: 9561 7200
E: alkimosbeach.ps@education.wa.edu.au
F: @Alkimos-Beach-Primary-School
",AlkimosBeach.PS@education.wa.edu.au,,08 9561 7200,,Michelle Wellsteed,Kim Dark,"200 Leatherback Boulevard
Alkimos WA
6038"
Alkimos College,4211,"

Alkimos College is a brand new college currently catering for children in Year 7. We will grow to accommodate children from Years 7 to 12 by 2025. We pride ourselves in giving children access to an exceptional secondary education in a world-class learning facility.
Our vision is to create resilient minds for a connected world. Our high expectations of our students ensures they have the knowledge, skills and confidence they need to thrive in a adaptable and every changing future. This is complemented by a strong focus on student engagement and mental health and wellbeing. Our motto is Aspire, Act, Achieve and our college values include learning, excellence, equity and care.

Alkimos College is one of only eight secondary schools chosen to have a Specialised Autism Learning Program.

We have an academic extension pathway with our Alpha and Aspire classes and will build a whole of college approach to STEM (science, technology, engineering, maths) learning. In addition, we have an explicitly taught wellbeing program - Anchor.

Our Stage 1 development includes state of the art classrooms, specialist science laboratories, food and textiles studios, gymnasium, library, design technology workshops, administration and student services. Areas for students to play and socialise include an extensive cafeteria, landscaped courtyards and multipurpose playing courts. From 2021 we will be sharing the use of ovals and facilities with the City of Wanneroo at Haleworth Park, playing an integral role in creating opportunities to unite the community.

Our Stage 2 development will include additional learning areas, visual arts, performing arts and dance, music and media classrooms, mechatronics and a lecture theatre.

We encourage you to contact us to learn more about how we can prepare your child for the future:

T: 9561 7300
E: Alkimos.Col@education.wa.edu.au
W: alkimoscollege.wa.edu.au
",Alkimos.Col@education.wa.edu.au,,08 9561 7300,,Nancy Mcnally,Linda Wilkinson,"101 Santorini Promenade
Alkimos WA
6038"
Alkimos Primary School,5844,"

Alkimos Primary School opened in February 2016. Our school features 5 teaching blocks, an automated library, a fully enclosed and carpeted assembly area, nature playground areas, traditional playground and we are looking forward to our 'loose parts hub'. All classrooms are fully air-conditioned. We cater for students from Kindergarten to Year 6.

Our school maintains links to the ocean and Greek theme of the local area, as reflected in the name Alkimos. Our facilities and factions are given Greek names and origins.

At Alkimos Primary School our priorities are to create:
A Alkimos Learning Community. This includes: students as learners, teachers as learners and parents as learners, and a Alkimos Healthy Community. This includes: student health and wellbeing, staff health and wellbeing and family health and wellbeing.

Our approaches to teaching and learning are that our staff understand that the quality of your relationships with students is the key. Our teachers are able to adeptly engage families and the Alkimos school community, as crucial to our school's success is the extent to which this sense of belonging and connectedness can be created. Our staff strive to create a highly collaborative learning environment.

In developing exemplary teaching and learning approaches that have become the hallmark of Alkimos PS, teachers showcase their prowess in using First Steps, cooperative learning strategies and associated principles of both of these. Use of ICT will also be strength. Teachers and all staff will be an advocate for the importance of play in learning, taking advantage of the excellent nature playground in our Early Childhood Education area. A commitment to implementing whole-school curriculum policies and programs will be evident, demonstrating all teachers' capacity to be attuned to the individual needs of students, and their authentic skill to provide an inclusive, fair and safe classroom.

Underpinning our approaches is a clear recognition that students' learning outcomes and opportunities are maximised when robust non-academic strategies and beliefs are apparent. In implementing and upholding these ideals at Alkimos PS, our staff reflect an awareness of the types of services and support required by the students, families and the community of Alkimos and this northern coastal area in general.

Alkimos Primary School also provides students with the following programs:
Oxford Assess Words Their Way Discovery Geography, History and Science
iMaths First Steps Cooperative Learning Zones of Regulation

To find out more about our great school:
http://alkimosps.schoolzineplus.com/
",Alkimos.PS@education.wa.edu.au,,08 9562 9800,,Andrew Gorton,Sara Sparks,"340 Benenden Avenue
Alkimos WA
6038"
Allanson Primary School,5006,"

Allanson Primary School has a long and colourful history and tradition as documented by Aileen Rusconi and Esther Saunders in the Publication, 'Our Little Bush School.'
The original Allanson School was established in 1913 to cater for children from families involved in the first coal mining and timber felling operations in this region. Dorothy Gibson was our school's founding principal and she opened the rolls with 27 students.

The original 1913 building was extensively renovated during 2001. This restoration project was undertaken by members of the Allanson community and funded through a Centenary of Federation grant. The building has returned to its former glory and stands proudly in the school playground.

Student numbers steadily increased throughout the years requiring the construction in 1923 of Allanson's second school building. This was extended in 1926 to its current size. It is presently used as a Kindergarten, Music/Drama room and by a local playgroup.

In 1990 the third school building consisting of a cluster of four classrooms, utility area, toilets, breezeway and administration area was completed. These additions to the school catered for the increased student population following the release of land in the Allanson Park subdivision.

An administration upgrade completed for the commencement of the 2002 school year included a new office, reception, sick bay, storage room, staff room and improvements to staff toilets and work area. An extension to the breezeway and the inclusion within the design of external doors has dramatically improved the available facilities for students. A new boy's toilet and changes to the girl's toilet allows students external access.

Extensions to the lawn area for use during lunch and recess time is an additional improvement impacting on the safe management of student traffic.

Allanson has always been a small school and was threatened with closure in 1984 as enrolments had fallen to approximately 8 students. Since 1986 through the support of the community, Allanson Primary School has experienced steady growth. This has seen the school grow from a 'small bush school' to a level 4 school in less than 12 years. From 1997 the school has catered for the education of primary students from the age of 4 (K) to the age of 12 (Yr 7). The school library is housed in a transportable building (1997) however through the use of technology research work is coordinated throughout the school.

In May 2000 a purpose built transportable Early Childhood Centre was located alongside the 'old' school and joined via a verandah. The Pre-Primary students are located in this transportable room.

A new library resource/technology centre is planned for completion in April 2006. The library will be inclusive of the school ICT program and continue the strong ICT influence clearly evident across all classrooms and the way in which teachers teach and students learn.

Allanson Primary School is best described as having 'a learning environment' where students are able to achieve at their optimum level and maximise learning opportunities.

In 2103, Allanson celebrated its centenary year.

VISION
Allanson Primary School is to be:
A small community enriched school that provides a high standard of educational opportunities across all learning areas, identifying and catering for the talents and needs of individual students to prepare them for the ever changing future.

MISSION STATEMENT
To ensure that our students develop the understandings, skills and attitudes relevant to individual needs thereby enabling them to fulfill their potential and contribute to the development of our society.

SCHOL MOTTO: CARE LEARN ACHIEVE
How we want our students to use their school motto to help guide their way at Allanson PS.

Care: Respect and concern for ourselves, respect and concern for others and care for the environment

Learn: Strive to be a responsible learner to gain essential skills, knowledge and understanding for lifelong experiences

Achieve: Striving to do our personal best with courage and commitment







",Allanson.PS@education.wa.edu.au,,08 9735 2800,08 9734 4805,Simon Paton,Janene Slater,"Cameron Street
Allanson WA
6225"
